country,code,latest_year,latest_tb_cases,latest_tb_incidence,country_encoded,prev_tb_cases,prev_tb_incidence,avg_prev_tb_cases,avg_prev_tb_incidence,case_trend,incidence_trend
Afghanistan,AFG,2024,87000.0,203.0,0,84000.0,204.0,63625.0,208.875,0.0,-2.0
Albania,ALB,2024,410.0,15.0,1,420.0,15.0,515.8333333333334,17.291666666666668,-10.0,0.0
Algeria,DZA,2024,25000.0,54.0,2,25000.0,55.0,31833.333333333332,87.125,0.0,0.0
American Samoa,ASM,2024,2.0,3.7,3,2.0,3.9,3.0833333333333335,5.770833333333333,0.0,-0.30000000000000027
Andorra,AND,2024,4.0,4.9,4,4.0,4.9,5.916666666666667,7.929166666666667,0.0,-0.09999999999999964
Angola,AGO,2024,141000.0,373.0,5,141000.0,383.0,108000.0,429.125,6000.0,4.0
Anguilla,AIA,2024,0.0,0.0,6,0.0,2.3,0.125,1.3695833333333332,-1.0,-4.8
Antigua and Barbuda,ATG,2024,1.0,1.1,7,1.0,1.1,3.2916666666666665,3.8666666666666667,0.0,0.0
Argentina,ARG,2024,20000.0,44.0,8,18000.0,39.0,13908.333333333334,33.625,2000.0,4.0
Armenia,ARM,2024,550.0,19.0,9,620.0,21.0,2366.25,79.5,-60.0,-3.0
Aruba,ABW,2024,9.0,8.3,10,4.0,3.7,7.166666666666667,7.16375,-1.0,-0.8999999999999995
Australia,AUS,2024,1900.0,6.9,11,1600.0,6.2,1479.1666666666667,6.5249999999999995,100.0,0.6000000000000005
Austria,AUT,2024,450.0,4.9,12,480.0,5.3,884.5833333333334,10.583333333333334,50.0,0.5999999999999996
Azerbaijan,AZE,2024,6600.0,64.0,13,6800.0,66.0,12870.833333333334,142.125,-100.0,-1.0
Bahamas,BHS,2024,73.0,18.0,14,35.0,8.8,72.83333333333333,20.241666666666667,-28.0,-7.199999999999999
Bahrain,BHR,2024,190.0,12.0,15,220.0,14.0,338.75,31.75,-30.0,-2.0
Bangladesh,BGD,2024,384000.0,221.0,16,379000.0,221.0,340625.0,221.0,4000.0,0.0
Barbados,BRB,2024,3.0,1.0,17,2.0,0.71,4.791666666666667,1.7520833333333332,-3.0,-1.09
Belarus,BLR,2024,1500.0,17.0,18,1700.0,19.0,6925.0,72.125,-300.0,-3.0
Belgium,BEL,2024,320.0,2.7,19,290.0,2.5,1164.5833333333333,10.641666666666667,-620.0,-5.3
Belize,BLZ,2024,140.0,34.0,20,140.0,34.0,172.5,55.958333333333336,0.0,-1.0
Benin,BEN,2024,5800.0,40.0,21,5900.0,42.0,6766.666666666667,67.70833333333333,-100.0,-2.0
Bermuda,BMU,2024,2.0,3.1,22,2.0,3.1,1.8333333333333333,2.8625000000000003,1.0,1.6
Bhutan,BTN,2024,1500.0,191.0,23,1400.0,179.0,2558.3333333333335,373.125,100.0,8.0
Bolivia,BOL,2024,14000.0,114.0,24,13000.0,105.0,19958.333333333332,201.45833333333334,1000.0,6.0
Bosnia and Herzegovina,BIH,2024,650.0,21.0,25,640.0,20.0,2479.5833333333335,63.291666666666664,-40.0,-1.0
Botswana,BWA,2024,3600.0,143.0,26,4400.0,175.0,11112.5,562.7916666666666,-700.0,-33.0
Brazil,BRA,2024,104000.0,49.0,27,103000.0,49.0,88083.33333333333,45.208333333333336,0.0,0.0
British Virgin Islands,VGB,2024,0.0,0.0,28,0.0,0.0,0.5,2.0033333333333334,0.0,-0.58
Brunei,BRN,2024,300.0,65.0,29,330.0,72.0,356.25,92.16666666666667,50.0,9.0
Bulgaria,BGR,2024,830.0,12.0,30,1100.0,17.0,3654.1666666666665,48.666666666666664,100.0,2.0
Burkina Faso,BFA,2024,13000.0,57.0,31,13000.0,58.0,12291.666666666666,74.125,0.0,-1.0
Burundi,BDI,2024,12000.0,83.0,32,12000.0,86.0,13458.333333333334,147.125,0.0,-3.0
Cambodia,KHM,2024,48000.0,272.0,33,48000.0,276.0,67291.66666666667,470.25,0.0,-1.0
Cameroon,CMR,2024,38000.0,132.0,34,39000.0,137.0,42750.0,207.08333333333334,-1000.0,-6.0
Canada,CAN,2024,2500.0,6.2,35,2400.0,6.2,2033.3333333333333,5.883333333333333,200.0,0.6000000000000005
Cape Verde,CPV,2024,250.0,47.0,36,280.0,53.0,491.6666666666667,99.25,80.0,14.0
Cayman Islands,CYM,2024,4.0,4.9,37,3.0,4.1,2.5833333333333335,4.482083333333334,-3.0,-4.300000000000001
Central African Republic,CAF,2024,22000.0,419.0,38,22000.0,428.0,24500.0,545.0416666666666,0.0,-9.0
Chad,TCD,2024,24000.0,118.0,39,23000.0,120.0,18875.0,141.625,0.0,-3.0
Chile,CHL,2024,3800.0,19.0,40,3800.0,20.0,3520.8333333333335,20.291666666666668,300.0,2.0
China,CHN,2024,696000.0,49.0,41,741000.0,52.0,1021541.6666666666,75.66666666666667,-7000.0,0.0
Colombia,COL,2024,26000.0,49.0,42,24000.0,46.0,19625.0,43.583333333333336,1000.0,2.0
Comoros,COM,2024,190.0,22.0,43,220.0,26.0,276.25,41.166666666666664,-20.0,-3.0
Congo,COG,2024,19000.0,302.0,44,18000.0,298.0,18000.0,406.9166666666667,0.0,1.0
Cook Islands,COK,2024,1.0,7.3,45,4.0,28.0,1.0833333333333333,6.808333333333334,4.0,28.0
Costa Rica,CRI,2024,480.0,9.3,46,490.0,9.5,667.9166666666666,15.079166666666666,-10.0,-0.3000000000000007
