day,healthy,infected,recovered,dead,daily_new_infections,daily_recoveries,daily_deaths,total_population,total_ever_infected
0,490,10,0,0,0,0,0,500,10
1,489,10,1,0,1,1,0,500,11
2,488,9,3,0,1,2,0,500,12
3,487,10,3,0,1,0,0,500,13
4,487,9,4,0,0,1,0,500,13
5,487,9,4,0,0,0,0,500,13
6,487,9,4,0,0,0,0,500,13
7,486,9,5,0,1,1,0,500,14
8,486,7,6,1,0,1,1,500,14
9,485,8,6,1,1,0,0,500,15
10,485,8,6,1,0,0,0,500,15
11,484,8,6,2,1,0,1,500,16
12,484,8,6,2,0,0,0,500,16
13,484,8,6,2,0,0,0,500,16
14,484,7,7,2,0,1,0,500,16
15,484,6,8,2,0,1,0,500,16
16,483,7,8,2,1,0,0,500,17
17,483,7,8,2,0,0,0,500,17
18,483,7,8,2,0,0,0,500,17
19,483,7,8,2,0,0,0,500,17
20,483,7,8,2,0,0,0,500,17
21,483,7,8,2,0,0,0,500,17
22,482,8,8,2,1,0,0,500,18
23,482,8,8,2,0,0,0,500,18
24,482,8,8,2,0,0,0,500,18
25,481,9,8,2,1,0,0,500,19
26,481,9,8,2,0,0,0,500,19
27,481,9,8,2,0,0,0,500,19
28,481,9,8,2,0,0,0,500,19
29,481,8,9,2,0,1,0,500,19
30,481,8,9,2,0,0,0,500,19
31,481,8,9,2,0,0,0,500,19
32,481,8,9,2,0,0,0,500,19
33,481,8,9,2,0,0,0,500,19
34,479,10,9,2,2,0,0,500,21
35,479,8,10,3,0,1,1,500,21
36,479,8,10,3,0,0,0,500,21
37,479,8,10,3,0,0,0,500,21
38,479,8,10,3,0,0,0,500,21
39,479,7,11,3,0,1,0,500,21
40,479,7,11,3,0,0,0,500,21
41,479,7,11,3,0,0,0,500,21
42,479,7,11,3,0,0,0,500,21
43,479,7,11,3,0,0,0,500,21
44,479,6,12,3,0,1,0,500,21
45,479,6,12,3,0,0,0,500,21
46,479,5,12,4,0,0,1,500,21
47,479,5,12,4,0,0,0,500,21
48,479,5,12,4,0,0,0,500,21
49,479,5,12,4,0,0,0,500,21
50,479,5,12,4,0,0,0,500,21
51,478,6,12,4,1,0,0,500,22
52,478,6,12,4,0,0,0,500,22
53,478,6,12,4,0,0,0,500,22
54,478,5,13,4,0,1,0,500,22
55,478,5,13,4,0,0,0,500,22
56,478,5,13,4,0,0,0,500,22
57,478,4,13,5,0,0,1,500,22
58,478,3,14,5,0,1,0,500,22
59,478,3,14,5,0,0,0,500,22
60,477,4,14,5,1,0,0,500,23
61,476,5,14,5,1,0,0,500,24
62,476,5,14,5,0,0,0,500,24
63,476,5,14,5,0,0,0,500,24
64,476,5,14,5,0,0,0,500,24
65,476,5,14,5,0,0,0,500,24
66,476,4,15,5,0,1,0,500,24
67,476,4,15,5,0,0,0,500,24
68,475,5,15,5,1,0,0,500,25
69,475,5,15,5,0,0,0,500,25
70,475,5,15,5,0,0,0,500,25
71,475,5,15,5,0,0,0,500,25
72,475,5,15,5,0,0,0,500,25
73,475,4,16,5,0,1,0,500,25
74,475,4,16,5,0,0,0,500,25
75,475,4,16,5,0,0,0,500,25
76,474,5,16,5,1,0,0,500,26
77,474,5,16,5,0,0,0,500,26
78,474,4,16,6,0,0,1,500,26
79,473,5,16,6,1,0,0,500,27
80,473,5,16,6,0,0,0,500,27
81,472,6,16,6,1,0,0,500,28
82,472,5,17,6,0,1,0,500,28
83,472,5,17,6,0,0,0,500,28
84,472,4,18,6,0,1,0,500,28
85,472,4,18,6,0,0,0,500,28
86,472,4,18,6,0,0,0,500,28
87,472,4,18,6,0,0,0,500,28
88,472,4,18,6,0,0,0,500,28
89,471,5,18,6,1,0,0,500,29
90,471,5,18,6,0,0,0,500,29
91,471,5,18,6,0,0,0,500,29
92,471,5,18,6,0,0,0,500,29
93,471,4,19,6,0,1,0,500,29
94,471,4,19,6,0,0,0,500,29
95,471,4,19,6,0,0,0,500,29
96,471,4,19,6,0,0,0,500,29
97,471,4,19,6,0,0,0,500,29
98,471,4,19,6,0,0,0,500,29
99,471,3,20,6,0,1,0,500,29
100,471,3,20,6,0,0,0,500,29
101,471,3,20,6,0,0,0,500,29
102,471,3,20,6,0,0,0,500,29
103,471,3,20,6,0,0,0,500,29
104,471,3,20,6,0,0,0,500,29
105,471,3,20,6,0,0,0,500,29
106,471,3,20,6,0,0,0,500,29
107,471,2,21,6,0,1,0,500,29
108,471,2,21,6,0,0,0,500,29
109,471,2,21,6,0,0,0,500,29
110,471,2,21,6,0,0,0,500,29
111,471,2,21,6,0,0,0,500,29
112,471,2,21,6,0,0,0,500,29
113,471,2,21,6,0,0,0,500,29
114,470,2,22,6,1,1,0,500,30
115,470,2,22,6,0,0,0,500,30
116,470,2,22,6,0,0,0,500,30
117,470,2,22,6,0,0,0,500,30
118,470,2,22,6,0,0,0,500,30
119,470,2,22,6,0,0,0,500,30
120,470,2,22,6,0,0,0,500,30
